No	Na	x	y	z	Cl	x	y	z
252	11.017596	5.134005	-2.699683	9.367023	22.617795	11.314384	0.637693	-19.574032
253	18.069523	-17.798759	-1.391340	2.788546	7.200952	0.883393	7.052238	1.157261
254	25.958064	10.241208	-2.520700	-23.718870	9.600202	3.630972	-5.877901	-6.665598
255	52.221669	49.272621	1.597192	-17.226738	14.167739	1.795409	-6.766086	12.317525
256	27.459188	-7.860095	2.381167	-26.202213	11.671426	3.466355	8.673834	-6.997941
257	21.862615	-8.791426	19.901623	2.147133	15.794845	14.497039	-6.257422	0.397066
258	14.108909	7.985919	-4.916222	-10.541212	20.897104	-15.722782	-1.633303	-13.668043
259	21.443438	-8.239031	3.517961	-19.482386	30.006963	-1.767833	-29.934298	-1.109248
260	6.660948	-4.029021	-5.089727	1.493280	12.911765	-9.646142	-8.117177	2.788736
261	39.882936	18.809895	34.955090	3.870159	37.858353	-36.516949	4.263834	9.032557
262	23.997193	-9.148369	-20.849058	-7.582176	18.973615	-3.074758	6.242714	17.651415
263	27.369701	14.572101	-10.734715	-20.530960	15.324790	5.386344	-9.557020	-10.700460
264	21.058941	-6.883822	-19.630537	3.276280	12.763812	-0.818524	2.074098	-12.567539
265	33.894138	7.484194	30.215076	-13.410763	24.545789	10.633670	-13.647785	17.411455
266	12.158889	-1.512128	11.016721	4.917714	5.994169	-3.710720	4.071019	-2.363771
267	26.307813	18.292921	17.736092	-6.549893	10.474221	-5.463192	-8.317155	3.269216
268	36.092415	3.910178	34.233665	-10.743793	20.305950	-18.150743	-1.478683	8.983074
269	27.079910	-1.370965	25.900759	-7.784131	11.867470	-10.269774	4.215735	-4.194777
270	18.692187	1.159006	15.586272	-10.252934	14.604116	-9.303264	10.193654	-4.776913
271	23.199405	22.969105	-2.620099	1.941057	13.091395	0.586428	-4.585011	-12.248199
272	14.124733	3.897445	-13.062073	3.701387	17.512585	-4.983574	-0.655006	16.775743
273	19.842948	-6.125578	-10.996096	15.339679	18.947595	-15.043784	-10.688381	4.295860
274	17.665201	9.222032	8.502036	-12.439005	13.169262	2.798590	-5.957203	-11.406537
275	13.721321	-9.986316	8.163052	-4.681105	9.356451	-1.239596	-3.855748	-8.434440
276	16.403892	9.319633	12.393397	-5.351244	14.518986	-1.211185	-5.108523	-13.536506
277	21.380201	-8.110803	-5.726878	-18.934908	6.365388	-4.545784	2.083621	3.938597
278	16.211020	0.460855	11.089165	-11.815888	26.914553	15.935971	-21.668800	0.949258
279	5.253824	-0.042908	3.335243	4.059185	18.911452	-13.046559	-3.860728	-13.134881
280	16.387565	13.668171	8.532268	-2.988947	11.378881	1.641445	-10.095381	4.986769
281	23.287459	1.296432	-13.697683	18.788254	14.601897	5.493575	9.566859	9.566151
282	28.313557	24.676668	-9.299852	10.306905	17.271522	-2.883049	11.732708	12.342490
283	19.032269	-1.767794	13.695033	13.097643	30.073784	15.146486	-9.254613	-24.276915
284	11.119222	-2.235320	-1.620598	10.770985	17.231449	-3.097144	-13.267625	10.549912
285	10.382850	-2.482277	-10.054981	-0.734318	5.846472	0.555975	-0.547477	5.794169
286	12.720361	7.736945	4.825816	8.868979	7.913784	-6.813152	-2.340646	-3.275716
287	23.874707	-11.028441	13.608173	16.223215	20.683691	-4.359803	-15.894129	-12.497355
288	31.691197	31.517927	-2.835708	-1.706158	4.577003	-1.985483	-0.877590	-4.029473
289	21.734623	7.898042	19.758963	4.426981	16.601418	3.352630	9.984797	12.832411
290	7.419281	-0.509826	-7.178333	1.804812	16.445498	-15.076682	-4.856184	4.423296
291	17.163706	-11.623207	12.595076	0.926249	13.156153	-11.000071	3.205363	6.465946
292	14.583751	2.213271	3.242673	14.045365	14.461552	11.330418	-8.771080	-1.956086
293	13.572119	-6.075420	8.255725	8.895768	17.708028	16.104347	-3.214137	6.625223
294	17.160198	-16.298553	4.730671	-2.539743	21.729791	18.929985	-4.535797	9.657434
295	16.366518	-11.281276	-2.887629	11.500319	12.655879	-2.263198	-11.234853	5.369106
296	46.259659	-35.719765	-21.512072	20.032104	11.100304	-1.558344	-1.551966	10.880244
