No	Na_eng	Na_rad	Cl_eng	Cl_rad
1653	0.008153	0.577145	0.021354	0.799346
1654	0.014382	0.577220	0.016198	0.799259
1655	0.013654	0.577212	0.032511	0.799535
1656	0.020153	0.577291	0.013437	0.799212
1657	0.010122	0.577169	0.019984	0.799323
1658	0.015541	0.577235	0.013949	0.799221
1659	0.012517	0.577198	0.007242	0.799108
1660	0.015886	0.577239	0.006476	0.799095
1661	0.012156	0.577193	0.015895	0.799254
1662	0.011662	0.577187	0.012950	0.799204
1663	0.022288	0.577317	0.012030	0.799189
1664	0.020434	0.577294	0.023365	0.799380
1665	0.016132	0.577242	0.016680	0.799267
1666	0.014859	0.577226	0.020089	0.799325
1667	0.012167	0.577193	0.010578	0.799164
1668	0.021228	0.577304	0.013335	0.799211
1669	0.012523	0.577198	0.014518	0.799231
1670	0.024640	0.577346	0.014655	0.799233
1671	0.014875	0.577227	0.020701	0.799335
1672	0.009306	0.577159	0.012883	0.799203
1673	0.017622	0.577260	0.019479	0.799314
1674	0.019412	0.577282	0.013568	0.799215
1675	0.015631	0.577236	0.016526	0.799265
1676	0.023196	0.577328	0.018341	0.799295
1677	0.019036	0.577277	0.021086	0.799342
1678	0.014218	0.577218	0.013600	0.799215
1679	0.017453	0.577258	0.029419	0.799483
1680	0.019916	0.577288	0.023093	0.799376
1681	0.009259	0.577158	0.014088	0.799223
1682	0.020197	0.577291	0.008734	0.799133
1683	0.033156	0.577450	0.011088	0.799173
1684	0.017919	0.577264	0.012632	0.799199
1685	0.014964	0.577228	0.019957	0.799323
1686	0.009365	0.577159	0.012696	0.799200
1687	0.006700	0.577127	0.023108	0.799376
1688	0.006661	0.577126	0.010394	0.799161
1689	0.008322	0.577147	0.017031	0.799273
1690	0.020382	0.577294	0.012565	0.799198
1691	0.021351	0.577306	0.011100	0.799173
1692	0.019809	0.577287	0.013360	0.799211
1693	0.008868	0.577153	0.012929	0.799204
1694	0.023710	0.577334	0.016164	0.799258
1695	0.029329	0.577403	0.015654	0.799250
1696	0.015010	0.577228	0.011554	0.799181
1697	0.010095	0.577168	0.019363	0.799313
1698	0.009077	0.577156	0.020002	0.799323
1699	0.012313	0.577195	0.019855	0.799321
1700	0.022644	0.577321	0.015886	0.799254
1701	0.010618	0.577175	0.016907	0.799271
1702	0.032354	0.577440	0.018894	0.799305
1703	0.009128	0.577156	0.010521	0.799163
1704	0.011644	0.577187	0.019149	0.799309
1705	0.014437	0.577221	0.025600	0.799418
